parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
parameters[18],0.663759822837378,0.5366746826188772,0.49320728725187546,1.3368166740283334,18.4771152690606,2.119379840769288,0.014492180239672319
parameters[19],-0.3467786054780682,0.44138516668575656,0.16868643345392384,6.796327053136852,14.117119323093707,1.1069148641641642,0.07367771403166441
parameters[20],-0.24041975125378345,0.33215833690911617,0.1779687903742592,3.3131048539191514,65.1767866615156,1.2918899664106924,0.03591675180953939
parameters[21],-0.8613744712351422,0.6595935322425881,0.5324216474316554,1.362580414166193,12.487605675234672,2.027134760976269,0.014771480141431346
parameters[22],0.3463002115369288,0.4567607105656161,0.39097411876561267,1.405493251671209,30.713094405687677,1.9727491422334587,0.015236690209349216
parameters[23],-0.48765716578983737,0.7273384939046971,0.253255934909665,9.665377596910806,64.35377121708555,1.030832016784712,0.10478055588342663
parameters[24],-0.35412317570375806,0.15877085121996032,0.11528986180224951,1.5994341260229217,18.572090713389116,1.696174010480085,0.017339167057184444
parameters[25],-0.4565418677635757,0.8838615196565498,0.768658799965466,1.4191502212949711,21.73339254591769,2.0935761728229036,0.015384742869942448
parameters[26],-2.5272620631454235,0.5975040873660741,0.25124498592980427,5.966291056026477,10.874553042768065,1.1529667578875122,0.06467944859314943
parameters[27],0.24072697909121732,0.8719991650508858,0.358119713576176,6.974228252809408,14.01828497801936,1.5643672497762577,0.07560630775778814
parameters[28],-0.5098011330025671,0.625709122542514,0.28516772377343375,4.546087331233496,12.41862657531024,1.176718431927699,0.04928328488826911
parameters[29],-0.9158020416433515,0.5216160502553431,0.37344974272257014,1.9803296856055592,20.358905426752095,1.479784291715943,0.02146838477955812
parameters[30],-1.1405455738293029,0.6487883208323847,0.25300885668265455,7.537860169775227,24.676611519494447,1.0508586817563002,0.0817165362492436
parameters[31],-2.0156671953033616,0.910363710398207,0.6031126025315965,2.9238473460168177,11.289408195620677,1.2458378092351259,0.031696883764980026
parameters[32],3.3911763199084763,0.5526389996316621,0.13617009586686105,16.958611288437027,20.56542938436125,1.009181118904311,0.18384514210612102
parameters[33],-0.7623747095569913,0.7245095907491462,0.20187980628225285,12.025796567418052,11.797878406004857,1.3773969626713456,0.1303694177119168
parameters[34],0.8128854542135672,0.5151067538601675,0.21589642285925587,7.115765403044843,10.995849874800982,1.0719363496411773,0.07714068560605399
parameters[35],0.9187479169582721,1.092105630953043,0.4097973121269429,7.522092915725418,20.624520417778246,1.1214968271295498,0.08154560638876694
parameters[36],0.9821965838424879,0.6136102757959886,0.3767314180238406,3.348093139272031,14.749740617814338,1.2559756936241764,0.03629605328554736
parameters[37],0.022068369426738916,0.6707949402488704,0.3374602025063059,5.816742221150929,14.241564944144223,1.1538710799392522,0.06305821756592223
parameters[38],-0.0021132696215438256,0.8649494410508567,0.2636947661543758,11.647994523763263,20.406148239701736,1.06364083772258,0.12627373621875962
parameters[39],-0.19965667677428806,0.8475725930519553,0.2462645279502227,12.167745733858467,38.48411320953776,1.048993970162406,0.13190826215101759
parameters[40],-0.5862737028339691,0.7119654819080501,0.18373087114974646,15.04603973704731,26.555692229536763,1.0334160649437791,0.16311131062234194
parameters[41],-1.1010059414377642,0.47074933887675025,0.13022605752375585,12.05215502046004,11.243509379416809,1.0308216090726774,0.13065516478535233
parameters[42],-0.9290267501978712,0.6590460230355086,0.16023461711929432,18.753241832392135,12.382704459038719,1.0821988652885919,0.203300397124931
parameters[43],-0.46659170393686233,0.7143266744973571,0.1997446398127914,13.373468053522547,12.431471140893951,1.2672036900251988,0.14497927294482618
parameters[44],-0.3168331486758647,0.933799324899246,0.4491877835936879,6.785156653972927,21.00304468233275,1.3276327500268017,0.07355661781766756
parameters[45],-1.2287677433585178,1.001878269751638,0.5366343546258922,3.876994254130237,15.339069578610994,1.1911854737320169,0.0420297716288348
parameters[46],0.5239086074353406,0.602781635662239,0.23019124535738567,7.329859879366508,21.59154335727586,1.2706742887151479,0.07946164389409076
parameters[47],0.42234699727398906,0.8243846362575622,0.2731787026978322,9.850734677064409,26.355029555736788,1.0694819891471838,0.10678997741928374
parameters[48],0.8137282392816304,0.870385405557329,0.5354428834753524,3.0470799938184756,12.175729516902287,1.3031706244308532,0.03303282591624903
parameters[49],0.42869692456926745,0.30976588174613956,0.10145218026601892,10.13295280628706,48.7939915601462,1.025376382609255,0.10984945152299401
parameters[50],-0.5938326956815612,0.8799577162993619,0.2720120490790791,12.21546411330443,20.406148239701736,1.1063819616181876,0.13242556820285797
parameters[51],-0.5969918579608238,0.9119133536187523,0.3283749692629452,8.850995248678938,55.022015593924316,1.0040665023974307,0.0959519887329142
parameters[52],0.7975469253733246,0.6335978155481161,0.21541413762259456,8.118764980636978,31.315564175788104,1.100524419354834,0.08801401696193767
parameters[53],0.7140161216471433,0.9470183238549403,0.32759405079258924,8.17015065900553,10.945014147815396,1.5874707783785802,0.08857107951742695
parameters[54],0.10223659733840608,0.6164508040309681,0.41159626523295917,2.2173353273922403,21.76897178929161,1.4209546684641887,0.024037718739346084
parameters[55],0.06474495086547855,0.4268062111325181,0.13402124497168988,15.004113482411409,20.53757574653841,1.2342147733813138,0.16265679591530516
parameters[56],0.76760999007081,0.5887301097537005,0.13621480728621815,20.848691050954343,14.899531917741362,1.1929934298455096,0.22601677129086276
parameters[57],-0.13747168039882127,0.3653730366489459,0.08642915567825885,15.42775235594351,19.596391770686704,1.1093273112118012,0.167249385932348
