Year,Age,Gender,log_Mu
1969.0,87.0,0.0,-1.8877903086451506
1969.0,88.0,0.0,-1.8086452347048396
1969.0,89.0,0.0,-1.6992203981286083
1969.0,96.0,0.0,-1.1516745151149022
1970.0,4.0,0.0,-7.633425651247642
1970.0,14.0,0.0,-7.934977571563574
1970.0,30.0,0.0,-6.938214486466846
1970.0,54.0,0.0,-4.924686981959891
1970.0,81.0,0.0,-2.568466535486974
1970.0,82.0,0.0,-2.4410199163813013
1970.0,83.0,0.0,-2.3324877543483593
1970.0,86.0,0.0,-2.0381537356666017
1970.0,87.0,0.0,-1.9432756224700756
1970.0,93.0,0.0,-1.4253595663651535
1971.0,11.0,0.0,-8.213391737084573
1971.0,16.0,0.0,-7.487573774235079
1971.0,28.0,0.0,-7.07380986331222
1971.0,42.0,0.0,-5.89542735891104
1971.0,50.0,0.0,-5.255832754941881
1971.0,51.0,0.0,-5.229537851153211
1971.0,55.0,0.0,-4.8851486740548395
1971.0,56.0,0.0,-4.800576982330702
1971.0,80.0,0.0,-2.6504277282876187
1971.0,93.0,0.0,-1.3812948793816289
1971.0,97.0,0.0,-1.1207750789590993
1972.0,4.0,0.0,-7.721940787919139
1972.0,7.0,0.0,-7.912877224562908
1972.0,17.0,0.0,-7.294889430405578
1972.0,19.0,0.0,-7.250245587928913
1972.0,22.0,0.0,-7.195437351433918
1972.0,24.0,0.0,-7.151101537613866
1972.0,63.0,0.0,-4.338737286575484
1973.0,14.0,0.0,-7.923866346138503
1973.0,24.0,0.0,-7.23904098891605
1973.0,25.0,0.0,-7.248838128161033
1973.0,34.0,0.0,-6.678232120703888
1973.0,40.0,0.0,-6.128889223019654
1973.0,43.0,0.0,-5.840977713834046
1973.0,49.0,0.0,-5.3921885821581075
1973.0,61.0,0.0,-4.453136030132593
1974.0,3.0,0.0,-7.531376396893472
1974.0,13.0,0.0,-8.101777752454906
1974.0,35.0,0.0,-6.648472681052054
1974.0,40.0,0.0,-6.2046577675690235
1974.0,46.0,0.0,-5.633510421670869
1974.0,96.0,0.0,-1.229834349852284
