Year,Age,Gender,Log_Mu,In_sample,BNN_l01,BNN_l05,BNN_mean,BNN_median,BNN_u95,BNN_u99,BNN_sdev
1950.0,15.0,0.0,-7.395515629817131,0,-7.530204721464353,-7.502551516253333,-7.450632407959206,-7.424380337369154,-7.368031357503414,-7.348850785919677,0.7101945669276782
1950.0,16.0,0.0,-7.2404347173646535,0,-7.417648776115302,-7.386876250842383,-7.353185951599684,-7.330957808985911,-7.270172753609737,-7.247998897593451,0.710856941095098
1950.0,17.0,0.0,-7.153655817418963,0,-7.32651302818799,-7.293337963614103,-7.263176851288962,-7.241037809561178,-7.185375099507958,-7.164022976533195,0.7112422001772378
1950.0,18.0,0.0,-7.085686487474799,0,-7.243603368560548,-7.204355299760245,-7.178094322093425,-7.153745689021737,-7.108668982542809,-7.087350536908337,0.7114190312806863
1950.0,19.0,0.0,-7.032185357360314,0,-7.17791964017505,-7.122711853717973,-7.103274624186465,-7.078700122304463,-7.039881831223304,-7.020259900260356,0.7111901144033691
1950.0,20.0,0.0,-6.985716820451849,0,-7.113092402278122,-7.054393369066842,-7.042346561798435,-7.018069174998879,-6.983670891452973,-6.967694476858092,0.7104728899850995
1950.0,21.0,0.0,-6.943382456625288,1,-7.063911683943132,-7.002719576036391,-6.994430559264679,-6.9698912285003125,-6.939443748708355,-6.92600580768783,0.7093054906414916
1950.0,22.0,0.0,-6.893852373813146,0,-7.017269864462536,-6.964114534075754,-6.95562225748648,-6.931469217969381,-6.901933740734266,-6.890622874517535,0.7078019634736828
1950.0,23.0,0.0,-6.86469578952169,1,-6.978028926665118,-6.930524779130466,-6.9212711192852705,-6.897031735403699,-6.868432516707646,-6.856893585273502,0.7061043861637972
1950.0,24.0,0.0,-6.816088090456313,0,-6.939095233039143,-6.897186195245592,-6.887398547076195,-6.863678650548816,-6.83397408229562,-6.822766298235429,0.7043395897931007
1950.0,25.0,0.0,-6.769733981084762,0,-6.8942395421137155,-6.860107754459636,-6.851168834753558,-6.828015332171133,-6.796835123061014,-6.784391869155905,0.7025989769792537
1950.0,26.0,0.0,-6.743937193752742,0,-6.852333107125473,-6.8190694856988525,-6.810835979616047,-6.788226407671576,-6.755922469957582,-6.743085111442146,0.7009385076451918
1950.0,27.0,0.0,-6.708904420236972,0,-6.808266296347839,-6.7728218741526405,-6.765508673660899,-6.743353686741178,-6.7108214431935505,-6.696222662884171,0.699387081217845
1950.0,28.0,0.0,-6.640020844340052,0,-6.757549859820377,-6.721914875060237,-6.714901403439368,-6.6929621926529075,-6.660697847969705,-6.646514263399447,0.6979555623594472
1950.0,29.0,0.0,-6.610618047759601,0,-6.706996933538274,-6.66597419459437,-6.659129288683246,-6.637072501335735,-6.6053317231365805,-6.590193162136741,0.6966436948546506
1950.0,30.0,0.0,-6.564875046065594,0,-6.649063166771446,-6.604928346053288,-6.59855517494981,-6.576333106607567,-6.545570901368556,-6.5313748451552875,0.6954447059732288
1950.0,31.0,0.0,-6.49300012396688,0,-6.586165177448338,-6.539349069680041,-6.5336810100878004,-6.5111981874115,-6.482081612314865,-6.468693134860673,0.6943482032707421
1950.0,32.0,0.0,-6.416724282544326,0,-6.5196827494006735,-6.470137707384384,-6.4650726322218,-6.4422501919872674,-6.414939574845792,-6.402235023916878,0.693342008168925
1950.0,33.0,0.0,-6.360790608600273,0,-6.449902090091086,-6.3982953448977415,-6.3933086645146195,-6.370020188794088,-6.344574654374043,-6.332190990181308,0.692413393655029
1950.0,34.0,0.0,-6.290409811838473,0,-6.376762716734092,-6.323096844660104,-6.318946616817306,-6.295316694188761,-6.271383306693825,-6.258495393797441,0.6915500020910474
